 2017-03-25 10:55:42,156 [P9496/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.9 application starting on CAMILLA-VISION
 2017-03-25 10:56:11,980 [P9496/D2/T15] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-03-25 10:56:13,424 [P9496/D2/T18] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-03-25 10:56:14,570 [P9496/D2/T15] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-03-25 10:56:15,996 [P9496/D2/T15] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-03-25 10:56:31,071 [P9496/D2/T5] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-03-25 10:56:32,302 [P9496/D2/T8] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username eaacaole5@students.eaaa.dk from IP address ::1
 2017-03-25 10:56:32,305 [P9496/D2/T8] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: eaacaole5@students.eaaa.dk logged in from IP address ::1
 2017-03-25 10:56:32,490 [P9496/D2/T15] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2017-03-25 10:56:32,491 [P9496/D2/T15] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 1ms)
 2017-03-25 10:56:32,566 [P9496/D2/T18] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2017-03-25 10:56:32,569 [P9496/D2/T18] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 2ms)
 2017-03-25 10:56:32,623 [P9496/D2/T15] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2017-03-25 10:56:32,625 [P9496/D2/T15] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 2ms)
 2017-03-25 10:56:32,645 [P9496/D2/T15] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2017-03-25 10:56:32,645 [P9496/D2/T15] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2017-03-25 10:56:32,650 [P9496/D2/T15] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2017-03-25 10:56:32,651 [P9496/D2/T15] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 0ms)
 2017-03-25 10:56:53,262 [P9496/D2/T11] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2017-03-24 10:56:53
 2017-03-25 10:57:02,910 [P9496/D2/T5] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Members' with Id '3130' has been published.
 2017-03-25 10:57:03,035 [P9496/D2/T5] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
 2017-03-25 10:57:03,036 [P9496/D2/T5] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 0 (took 1ms)
 2017-03-25 10:57:07,183 [P9496/D2/T17] INFO  umbraco.content - Save Xml to file...
 2017-03-25 10:57:07,212 [P9496/D2/T17] INFO  umbraco.content - Saved Xml to file.
 2017-03-25 10:57:43,351 [P9496/D2/T15] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Forbidden Access' with Id '3123' has been published.
 2017-03-25 10:57:47,393 [P9496/D2/T15] INFO  umbraco.content - Save Xml to file...
 2017-03-25 10:57:47,413 [P9496/D2/T15] INFO  umbraco.content - Saved Xml to file.
 2017-03-25 10:58:03,459 [P9496/D2/T46] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Login' with Id '3122' has been published.
 2017-03-25 10:58:07,501 [P9496/D2/T15] INFO  umbraco.content - Save Xml to file...
 2017-03-25 10:58:07,516 [P9496/D2/T15] INFO  umbraco.content - Saved Xml to file.
 2017-03-25 10:58:27,004 [P9496/D2/T47] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Sitemap' with Id '2098' has been published.
 2017-03-25 10:58:31,044 [P9496/D2/T37] INFO  umbraco.content - Save Xml to file...
 2017-03-25 10:58:31,057 [P9496/D2/T37] INFO  umbraco.content - Saved Xml to file.
 2017-03-25 11:00:07,828 [P9496/D2/T5] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'New Article' with Id '3104' has been published.
 2017-03-25 11:00:11,869 [P9496/D2/T21] INFO  umbraco.content - Save Xml to file...
 2017-03-25 11:00:11,882 [P9496/D2/T21] INFO  umbraco.content - Saved Xml to file.
 2017-03-25 11:00:17,359 [P9496/D2/T26] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'New Article' with Id '3104' has been unpublished.
 2017-03-25 11:00:21,397 [P9496/D2/T21] INFO  umbraco.content - Save Xml to file...
 2017-03-25 11:00:21,428 [P9496/D2/T21] INFO  umbraco.content - Saved Xml to file.
 2017-03-25 11:00:49,116 [P9496/D2/T60] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.HealthCheck.HealthCheck
 2017-03-25 11:00:49,119 [P9496/D2/T60] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.HealthCheck.HealthCheck, found 0 (took 2ms)
 2017-03-25 11:00:59,923 [P9496/D2/T59] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field default
 2017-03-25 11:12:09,764 [P9496/D2/T87] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-03-25 11:12:30,679 [P9496/D2/T87] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-03-25 11:15:28,574 [P9496/D2/T90] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-03-25 11:15:44,474 [P9496/D2/T70] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-03-25 11:16:03,131 [P9496/D2/T72] INFO  Umbraco.Core.Logging.OwinLogger - Event Id: 0, state: User logged will be logged out due to timeout: eaacaole5@students.eaaa.dk, IP Address: ::1
 2017-03-25 11:29:35,263 [P9496/D2/T74] INFO  Umbraco.Core.Security.UmbracoMembershipProviderBase - Login attempt succeeded for username Dorthe from IP address ::1
 2017-03-25 11:30:59,068 [P9496/D2/T131] INFO  Umbraco.Core.Security.UmbracoMembershipProviderBase - Login attempt succeeded for username Hans from IP address ::1
 2017-03-25 11:34:27,638 [P9496/D2/T177] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username eaacaole5@students.eaaa.dk from IP address ::1
 2017-03-25 11:34:27,638 [P9496/D2/T177] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: eaacaole5@students.eaaa.dk logged in from IP address ::1
 2017-03-25 11:34:46,508 [P9496/D2/T191] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Active members only project' with Id '3124' has been published.
 2017-03-25 11:34:50,561 [P9496/D2/T187] INFO  umbraco.content - Save Xml to file...
 2017-03-25 11:34:50,584 [P9496/D2/T187] INFO  umbraco.content - Saved Xml to file.
 2017-03-25 11:45:20,076 [P9496/D2/T257] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Terminating
 2017-03-25 11:45:20,076 [P9496/D2/T257] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Waiting for tasks to complete
 2017-03-25 11:45:20,077 [P9496/D2/T257] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Terminating
 2017-03-25 11:45:20,077 [P9496/D2/T257] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Waiting for tasks to complete
 2017-03-25 11:45:20,078 [P9496/D2/T272] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Tasks completed, terminated
 2017-03-25 11:45:20,079 [P9496/D2/T253] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Tasks completed, terminated
 2017-03-25 11:45:20,079 [P9496/D2/T257] INFO  Umbraco.Core.MainDom - Stopping...
 2017-03-25 11:45:20,081 [P9496/D2/T257] INFO  Umbraco.Core.MainDom - Released MainDom.
 2017-03-25 11:45:20,099 [P9496/D2/T257] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Terminating
 2017-03-25 11:45:20,099 [P9496/D2/T257] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Waiting for tasks to complete
 2017-03-25 11:45:20,099 [P9496/D2/T257] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Terminating
 2017-03-25 11:45:20,099 [P9496/D2/T257] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Waiting for tasks to complete
 2017-03-25 11:45:20,099 [P9496/D2/T257] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Terminating
 2017-03-25 11:45:20,099 [P9496/D2/T257] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Waiting for tasks to complete
 2017-03-25 11:45:20,099 [P9496/D2/T306] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Tasks completed, terminated
 2017-03-25 11:45:20,099 [P9496/D2/T272] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Tasks completed, terminated
 2017-03-25 11:45:20,099 [P9496/D2/T272] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Tasks completed, terminated
 2017-03-25 12:19:50,783 [P14184/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.9 application starting on CAMILLA-VISION
 2017-03-25 12:19:50,811 [P14184/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-03-25 12:19:50,824 [P14184/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 13ms)
 2017-03-25 12:19:50,906 [P14184/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-03-25 12:19:50,908 [P14184/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-03-25 12:19:50,916 [P14184/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-03-25 12:19:51,346 [P14184/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 429ms)
 2017-03-25 12:19:51,366 [P14184/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-03-25 12:19:51,383 [P14184/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 17ms)
 2017-03-25 12:19:51,384 [P14184/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-03-25 12:19:51,400 [P14184/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 16ms)
 2017-03-25 12:19:51,421 [P14184/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-03-25 12:19:51,436 [P14184/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 14ms)
 2017-03-25 12:19:51,437 [P14184/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-03-25 12:19:51,457 [P14184/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 19ms)
 2017-03-25 12:19:51,509 [P14184/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-03-25 12:19:51,515 [P14184/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 5ms)
 2017-03-25 12:19:51,516 [P14184/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-03-25 12:19:51,530 [P14184/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 14ms)
 2017-03-25 12:19:53,845 [P14184/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-03-25 12:19:54,124 [P14184/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-03-25 12:19:54,167 [P14184/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-03-25 12:19:54,255 [P14184/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-03-25 12:19:54,275 [P14184/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 3587ms)
 2017-03-25 12:19:54,459 [P14184/D2/T10] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:50008/umbraco (UmbracoModule request)
 2017-03-25 12:19:54,750 [P14184/D2/T10] INFO  umbraco.content - Load Xml from file...
 2017-03-25 12:19:54,753 [P14184/D2/T10] INFO  umbraco.content - Loaded Xml from file.
 2017-03-25 12:19:55,494 [P14184/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-03-25 12:19:55,511 [P14184/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 17ms)
 2017-03-25 12:20:01,125 [P14184/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-03-25 12:20:01,143 [P14184/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 17ms)
 2017-03-25 12:20:01,364 [P14184/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.cms.businesslogic.macro.IMacroEngine
 2017-03-25 12:20:01,375 [P14184/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.cms.businesslogic.macro.IMacroEngine, found 0 (took 11ms)
 2017-03-25 12:20:07,875 [P14184/D2/T10] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-03-25 12:20:54,805 [P14184/D2/T15] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2017-03-24 12:20:54
 2017-03-25 13:00:02,044 [P14184/D2/T214] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username eaacaole5@students.eaaa.dk from IP address ::1
 2017-03-25 13:00:02,047 [P14184/D2/T214] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: eaacaole5@students.eaaa.dk logged in from IP address ::1
 2017-03-25 13:00:02,294 [P14184/D2/T218] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2017-03-25 13:00:02,323 [P14184/D2/T218] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 28ms)
 2017-03-25 13:00:07,652 [P14184/D2/T219] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IAction
 2017-03-25 13:00:07,683 [P14184/D2/T219] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IAction, found 0 (took 31ms)
 2017-03-25 13:00:07,852 [P14184/D2/T196] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2017-03-25 13:00:07,859 [P14184/D2/T196] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 7ms)
 2017-03-25 13:00:07,864 [P14184/D2/T196] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2017-03-25 13:00:07,875 [P14184/D2/T196] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 11ms)
 2017-03-25 13:03:04,208 [P14184/D2/T265] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.HealthCheck.HealthCheck
 2017-03-25 13:03:04,217 [P14184/D2/T265] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.HealthCheck.HealthCheck, found 0 (took 9ms)
 2017-03-25 13:19:33,116 [P14184/D2/T298] INFO  Umbraco.Core.Logging.OwinLogger - Event Id: 0, state: User logged will be logged out due to timeout: eaacaole5@students.eaaa.dk, IP Address: ::1
 2017-03-25 13:43:01,703 [P14184/D2/T448] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username eaacaole5@students.eaaa.dk from IP address ::1
 2017-03-25 13:43:01,703 [P14184/D2/T448] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: eaacaole5@students.eaaa.dk logged in from IP address ::1
 2017-03-25 14:02:35,112 [P14184/D2/T590] INFO  Umbraco.Core.Logging.OwinLogger - Event Id: 0, state: User logged will be logged out due to timeout: eaacaole5@students.eaaa.dk, IP Address: ::1
 2017-03-25 14:03:05,114 [P14184/D2/T571] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Terminating
 2017-03-25 14:03:05,114 [P14184/D2/T571] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Waiting for tasks to complete
 2017-03-25 14:03:05,115 [P14184/D2/T633] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Tasks completed, terminated
 2017-03-25 14:03:05,116 [P14184/D2/T571] INFO  Umbraco.Core.MainDom - Stopping...
 2017-03-25 14:03:05,117 [P14184/D2/T571] INFO  Umbraco.Core.MainDom - Released MainDom.
 2017-03-25 14:03:05,117 [P14184/D2/T571] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Terminating
 2017-03-25 14:03:05,117 [P14184/D2/T571] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Waiting for tasks to complete
 2017-03-25 14:03:05,117 [P14184/D2/T571] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Terminating
 2017-03-25 14:03:05,117 [P14184/D2/T571] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Waiting for tasks to complete
 2017-03-25 14:03:05,117 [P14184/D2/T571] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Terminating
 2017-03-25 14:03:05,117 [P14184/D2/T571] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Waiting for tasks to complete
 2017-03-25 14:03:05,117 [P14184/D2/T614] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Tasks completed, terminated
 2017-03-25 14:03:05,117 [P14184/D2/T574] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Tasks completed, terminated
 2017-03-25 14:03:05,117 [P14184/D2/T582] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Tasks completed, terminated
 2017-03-25 14:03:05,131 [P14184/D2/T571] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Terminating
 2017-03-25 14:03:05,131 [P14184/D2/T571] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Waiting for tasks to complete
 2017-03-25 14:03:05,131 [P14184/D2/T600] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Tasks completed, terminated
